﻿id,en,zh
home,Home,首页
settings,Settings,设置
ai_settings,AI Settings,AI 设置
backup_settings,Backup Settings,备份设置
storage_settings,Storage Settings,存储设置
server_settings,Server Settings,服务设置
cloud_config,Cloud Config,云配置
model_download,Model Download,模型下载
model_card,Model Card,模型卡片
daily_card,Daily Card,每日卡片
quick_card,Quick Card,快捷卡片
score_card,Score Card,成绩卡片
wrong_card,Wrong Card,错题卡片
app_shell,App Shell,应用外壳
bottom_navigation,Bottom Navigation,底部导航
personal_drawer,Personal Drawer,个人抽屉
profile,Profile,个人中心
language,Language,语言
theme,Theme,主题
dark_mode,Dark Mode,深色模式
light_mode,Light Mode,浅色模式
system_default,System Default,跟随系统
about,About,关于
version,Version,版本
license,License,许可
privacy_policy,Privacy Policy,隐私政策
feedback,Feedback,反馈
rate_us,Rate Us,评价应用
share,Share,分享
notification,Notification,通知
sound,Sound,声音
vibration,Vibration,振动
font_size,Font Size,字体大小
export_data,Export Data,导出数据
import_data,Import Data,导入数据
clear_cache,Clear Cache,清除缓存
storage_usage,Storage Usage,存储用量
auto_backup,Auto Backup,自动备份
webdav,WebDAV,WebDAV
save,Save,保存
cancel,Cancel,取消
confirm,Confirm,确认
loading,Loading...,加载中...
error,Error,错误
success,Success,成功
web_search,Web Search,联网搜索
web_search_subtitle,"Search provider, API Key config","搜索服务商、API Key 配置"
ai_engine,AI Engine,AI 引擎
ai_engine_subtitle,"Local model management, cloud API config","本地模型管理、云端 API 配置"
storage_path,Storage Path,存储路径
storage_path_subtitle,Manage knowledge base file storage location,管理知识库文件存储位置
select_search_provider,Select Search Provider,选择搜索服务商
search_api_key,Search API Key,搜索 API Key
input_api_key,Input API Key,输入 API Key
testing,Testing...,测试中...
connection_success,Connection Success,连接成功
connection_failed,Connection Failed,连接失败
config_api_key_first,Please configure API Key first,请先配置 API Key
local_model,Local Model,本地模型
cloud_api,Cloud API,云端 API
model_repo_url,Model Repository URL,模型仓库地址
fetch,Fetch,获取
import_local_model,Import Local Model,导入本地模型
available_memory,Available Memory: {memory} MB,可用内存: {memory} MB
cloud_model_repo_url,Cloud Model Repository URL,云模型仓库地址
no_models,No models,暂无模型
fetch_or_import_hint,Fetch repository or import local file,请获取仓库或导入本地文件
fetch_failed_use_cache,"Fetch failed, using cached data","获取失败，使用已缓存数据"
import_success,Import successful,导入成功
import_failed,Import failed,导入失败
load_failed,Load failed,加载失败
prompt_management,Prompt Management,提示词管理
prompt_management_subtitle,Manage AI prompt templates,管理 AI 提示词模板
custom,Custom,已自定义
no_templates,No templates,暂无模板
original_template,Original Template,原始模板
reset_override,Reset to Default,恢复默认
reset_all,Reset All,一键恢复所有
reset_all_confirm,All custom content will be lost continue?,所有自定义内容将丢失是否继续？
reset_success,Reset successful,重置成功
variables,Variables,变量
prompt_edit_hint,Edit prompt template...,编辑提示词模板...
save_success,Template saved,模板已保存
import_json_hint,Paste JSON content here,在此粘贴 JSON 内容
export_success,Exported successfully,导出成功
original_template_changed,Original template has changed,原始模板已有变更
file_too_large,File too large,文件过大
invalid_json,Invalid JSON format,JSON 格式错误
export_warning,Exported file contains custom prompts,导出文件包含自定义提示词
prompt_rag_qa,RAG Q&A,RAG 问答
prompt_quiz_gen,Quiz Generator,出题生成
prompt_intent,Intent Analyzer,意图分析
prompt_summary,Summarizer,摘要生成
prompt_grader,Grader,阅卷评分
prompt_tag_gen,Tag Generator,标签生成
prompt_question_variant,Question Variant,变种出题
prompt_periodic_exam,Periodic Exam,阶段考试
prompt_search,Search Agent,联网搜索
webdav_subtitle,WebDAV / Local Backup,WebDAV / 本地备份
no_custom_templates,No custom templates to export,没有自定义模板可导出
reset_single_confirm,Reset this template to default?,将此模板恢复为默认值？
copied_to_clipboard,Copied to clipboard,已复制到剪贴板
import_file,Import from file,从文件导入
import_count,Successfully imported {count} templates,成功导入 {count} 个模板
skip_memory_check,Skip Memory Compatibility Check,跳过内存兼容性检查
skip_memory_check_desc,"Show all models, don't filter by device memory",显示所有模型，不根据设备内存过滤
backup,Backup,备份
backup_history,Backup History,备份历史
no_backups,No backup records,暂无备份记录
select_restore_version,Select Restore Version,选择恢复版本
no_backups_available,No backups available,没有可用的备份
backup_complete,Backup complete,备份完成
backup_failed,Backup failed,备份失败
restore_complete,Restore complete,恢复完成
restore_failed,Restore failed,恢复失败
packing_files,Packing files...,正在打包文件...
uploading,Uploading...,正在上传...
downloading,Downloading...,正在下载...
decompressing,Decompressing...,正在解压...
keep_backup_count,Keep backup count,保留备份数量
keep_backup_desc,Keep latest {n} backups during auto-cleanup,自动清理时保留最近 {n} 个备份
no_cleanup,No cleanup,不清理
delete_backup_confirm,Delete this backup?,确定删除此备份？
get_backup_list_failed,Failed to get backup list,获取备份列表失败
restore_confirm,Restore to this version? Current data will be overwritten,确定恢复到此备份版本？当前数据将被覆盖
upload_failed,Upload failed,上传失败
download_failed,Download failed,下载失败
delete_failed,Delete failed,删除失败
user,User,账号
password,Password,密码
test_connection,Test Connection,测试连接
save_success,Saved,已保存
backup_frequency,Backup Frequency,备份频率
manual_operation,Manual Operation,手动操作
backup_now,Backup Now,立即备份
restore,Restore,恢复
daily,Daily,每天
weekly,Weekly,每周
manual,Manual,手动
webdav_not_configured,WebDAV not configured,WebDAV 未配置
advanced_settings,Advanced Settings,高级设置
application_log,Application log,应用日志
view_logs,View Logs,查看日志
log_viewer,Log Viewer,日志查看器
log_level,Level,级别
view_operation_logs_and_error_records,View operation logs and error records,查看运行日志、错误记录
log_all,All,全部
log_search,Search,搜索
log_search_hint,Search logs...,搜索日志...
log_no_logs,No logs,暂无日志
log_export,Export Logs,导出日志
log_clear,Clear Logs,清空日志
log_clear_confirm,Clear all log files? This cannot be undone.,确定要清空所有日志文件吗？此操作不可恢复。
log_clear_success,Logs cleared,日志已清空
log_export_success,Logs exported,日志已导出
log_copied,Copied to clipboard,已复制到剪贴板
log_detail,Log Detail,日志详情
log_error_info,Error Info,错误信息
log_stack_trace,Stack Trace,堆栈跟踪
modify_storage_path,Modify Storage Path,修改存储路径
migrate_files_confirm,"Change storage path to:\n{path}\n\nMigrate existing files?","将存储路径修改为:\n{path}\n\n是否迁移已有文件？"
path_only,Path Only,仅修改路径
migrate_and_change,Migrate & Change,修改并迁移
storage_path_updated,Storage path updated,存储路径已更新
migrated_n_files,Migrated {n} files,已迁移 {n} 个文件
migration_failed,Migration failed,迁移失败
current_storage_path,Current Storage Path,当前存储路径
description,Description,说明
enable_micro_server,Enable Micro Server,启用微服务
enable_micro_server_desc,Access via browser when enabled,开启后可通过浏览器访问
port,Port,端口号
switch_to_quiz_tab,Switch to Quiz tab to view exam history,请切换到"测验"标签查看考试历史
no_exam_records,No exam records,暂无考试记录
quiz_started_switch_tab,Quiz started, switch to Quiz tab,速记已开始，请切换到"测验"标签查看
available_memory_label,Available Memory,可用内存
model_repo_url_label,Model Repository URL,模型仓库地址
load_label,Load,加载
loaded,Loaded,已加载
retry,Retry,重试
no_download_source,No download source,无下载源
download_label,Download,下载
confirm_restore,Confirm Restore,确认恢复
restore_confirm_msg,Restore will overwrite current data. Continue?,恢复将覆盖当前数据，是否继续？
restore_btn,Restore,恢复
account,Account,账号
backup_frequency_label,Backup Frequency,定时备份频率
manual_operations,Manual Operations,手动操作
backup_now_label,Backup Now,立即备份
restore_data,Restore Data,恢复数据
daily_label,Daily,每天
weekly_label,Weekly,每周
local_model_label,Local Model,本地模型
cloud_api_label,Cloud API,云端 API
cloud_model_repo_url_label,Cloud Model Repository URL,云模型仓库地址
daily_quiz_started,Daily quiz started, switch to Quiz tab,每日一测已开始，请切换到"测验"标签查看
tap_to_start,Tap to start,点击开始练习
start_practice,Start Practice,开始练习
favorites,Favorites,收藏夹
browse_history,Browse History,浏览历史
cloud_sync,Cloud Sync,云同步
custom_label,Custom...,自定义...
service_provider,Service Provider,服务商
api_base_url,API Base URL,接口地址
model_label,Model,模型
copy,Copy,复制
font_size_label,Font Size,字号
line_spacing,Line Spacing,行距
night_mode,Night Mode,夜间模式
view_source,View Source,查看原文
multiple_choice_suffix,(Multiple Choice),（多选）
options_label,Options:,选项:
not_answered,Not answered,未作答
storage_migration_hint_1,New documents will be saved to the new location,新文档将保存到新位置
storage_migration_hint_2,Migration copies existing .md files to the new directory,迁移会将已有 .md 文件复制到新目录
storage_migration_hint_3,Original files are not deleted - clean them manually,原文件不会被删除，请手动清理
api_protocol,API Protocol,API 协议
model_name_label,Model,模型
share_logs_subject,Knode App Logs,知维应用日志
mirror_not_found,Mirror "{key}" not found,镜像 "{key}" 不存在
checksum_failed,File checksum failed - please re-download,文件校验失败，请重新下载
source_not_found,Source file not found: {path},源文件不存在: {path}
gguf_only,Only .gguf files are supported,仅支持 .gguf 格式文件
