id,en,zh
chat,Chat,对话
ai_chat,AI Chat,AI 对话
message,Message,消息
send,Send,发送
input_message,Input message...,输入消息...
new_conversation,New Conversation,新建对话
delete_conversation,Delete Conversation,删除对话
archive,Archive,归档
citation,Citation,引用
sources,Sources,来源
search,Search,搜索
rag_search,RAG Search,RAG 搜索
qa,QA,问答
question,Question,问题
answer,Answer,回答
loading,Loading...,加载中...
error,Error,错误
retry,Retry,重试
cancel,Cancel,取消
confirm,Confirm,确认
save,Save,保存
copy,Copy,复制
copied,Copied,已复制
no_conversations_yet,No conversations yet,暂无对话
clear_history,Clear History,清除历史
export_chat,Export Chat,导出对话
knowledge_base,Knowledge Base,知识库
related_documents,Related Documents,相关文档
token_usage,Token Usage,Token 用量
intent_recognition,Intent Recognition,意图识别
