id,en,zh
switch_to_source,Switch to source mode,切换到源码模式
switch_to_rich,Switch to rich text mode,切换到富文本模式
markdown_source,Markdown source...,Markdown 源码...
no_text_content,"(PDF file has no text content, may be scanned)","(PDF 文件无文本内容，可能为扫描件)"
no_docx_text,"(DOCX file has no text content)","(DOCX 文件无文本内容)"
input_answer,Enter answer,输入答案
input_your_answer,Enter your answer...,输入你的回答...
score_suffix,points,分
answer_correct_n,Correct  /  questions,答对  /  题
read_aloud,Read Aloud,朗读
browser_search,Browser Search,浏览器搜索
ask_ai,Ask AI,问问AI
fulltext_search,Full-text Search,全文搜索
knowledge_search,Knowledge Search,知识库搜索
search_word,Search Word,搜索单词
input_word_hint,Enter word to look up,输入单词查询释义
search_document,Search documents...,搜索文档...
prev_match,Previous Match,上一个匹配
next_match,Next Match,下一个匹配
add_note,Add Note,添加笔记
note_input_hint,Enter note content...,输入笔记内容...
skip,Skip,跳过
note_saved,Note Saved,笔记已保存
toc,Table of Contents,目录
no_titles,No Titles,暂无标题
reading_settings,Reading Settings,阅读设置
margin,Margin,页边距
theme,Theme,主题
light,Light,浅色
eye_care,Eye Care,护眼
dark,Dark,深色
outline,Outline,目录
no_headings,No headings found,暂无标题
graph_canvas_pending,Graph Canvas (Coming Soon),图谱画布（开发中）
feature_development,In Development,开发中
explain_text,Explain,解释
generate_based,Generate based on,基于以下内容生成
please_explain,Please explain,请解释以下内容
system_prompt_explain,You are a helpful assistant that explains knowledge clearly. Please explain the following content in a clear and organized way.,你是一个善于清晰解释知识的助手。请以清晰、有条理的方式解释以下内容。
wiki,Wiki,知识库
knowledge_graph,Knowledge Graph,知识图谱
document,Document,文档
category,Category,类目
category_tree,Category Tree,类目树
category_panel,Category Panel,类目面板
manage_categories,Manage Categories,管理类目
add_category,Add Category,添加类目
edit_category,Edit Category,编辑类目
create_node,Create Node,创建节点
node_name,Node Name,节点名称
reader,Reader,阅读器
editor,Editor,编辑器
new_document,New Document,新建文档
edit_document,Edit Document,编辑文档
delete_document,Delete Document,删除文档
import,Import,导入
export,Export,导出
import_document,Import Document,导入文档
export_document,Export Document,导出文档
pdf_export,PDF Export,PDF 导出
citation,Citation,引用
citation_popup,Citation Popup,引用弹窗
add_citation,Add Citation,添加引用
graph_canvas,Graph Canvas,图谱画布
graph_node,Graph Node,图谱节点
graph_edge,Graph Edge,图谱边
graph_controller,Graph Controller,图谱控制器
knowledge_map,Knowledge Map,知识地图
all_knowledge,All Knowledge,全部知识
notes,Notes,笔记
study_materials,Study Materials,学习资料
work,Work,工作
ideas,Ideas,灵感
save,Save,保存
cancel,Cancel,取消
confirm,Confirm,确认
delete,Delete,删除
search,Search,搜索
loading,Loading...,加载中...
error,Error,错误
no_documents,No Documents,暂无文档
document_title,Document Title,文档标题
reader_toolbar,Reader Toolbar,阅读器工具栏
page,Page,页
zoom_in,Zoom In,放大
zoom_out,Zoom Out,缩小
summarize,Summarize,摘要
summary,Summary,摘要
summarizer,Summarizer,摘要生成器
tts,TTS,朗读
text_to_speech,Text to Speech,文字转语音
tags,Tags,标签
edit_tags,Edit Tags,编辑标签
add_tag,Add Tag,添加标签
no_tags,No tags,暂无标签
auto_generate_tags,Auto-generate tags for new docs,自动为新文档生成标签
tag_generated,Tags generated,标签已生成
tag_generation_failed,Tag generation failed,标签生成失败
reset_tags,Reset Tags,重置标签
reset_tags_confirm,"Reset tags? AI-generated tags will be cleared",确定重置标签？AI 生成的标签将被清除
ai_explanation,AI Explanation,AI 讲解
generate_question,Generate Question,生成题目
copy,Copy,复制
copied_to_clipboard,Copied to clipboard,已复制到剪贴板
generating_ai_explanation,Generating AI explanation...,正在生成 AI 讲解...
close,Close,关闭
ai_explanation_failed,AI explanation failed,AI 讲解失败
generating_questions,Generating questions...,正在生成题目...
generated_questions,Generated Questions,生成的题目
question_generation_failed,Question generation failed,题目生成失败
auto_saved,Auto-saved,已自动保存
view_source,View Source,查看原文
no_categories,No categories,暂无类目
rename,Rename,重命名
move_to,Move To,移动到
rename_category,Rename Category,重命名类目
category_name,Category Name,类目名称
root_directory,Root Directory,根目录
delete_category,Delete Category,删除类目
delete_category_confirm,"Delete ""{name}""? Subcategories will be moved to root.",确定删除「{name}」？子类目将移至根目录。
font_size,Font Size,字号
line_spacing,Line Spacing,行距
night_mode,Night Mode,夜间模式
feature_in_development,Feature in development,功能开发中
add_category_in_dev,Add category - in development,添加类目功能开发中
edit_category_in_dev,Edit category - in development,编辑类目功能开发中
style,Style,样式
background,Background,背景色
underline,Underline,下划线
bookmark,Bookmark,书签
highlight,Highlight,高亮
add_bookmark,Add Bookmark,添加书签
add_highlight,Add Highlight,添加高亮
note,Note,备注
no_bookmarks,No bookmarks yet,暂无书签
no_highlights,No highlights yet,暂无高亮
tap_to_select,Tap to select,点击选择
note_document,Note Document,笔记文档
reader_copy,Copy,复制
reader_bookmark,Bookmark,书签
reader_read_aloud,Read Aloud,朗读
reader_dictionary,Dictionary,字典
reader_browser_search,Browser Search,浏览器搜索
reader_ask_ai,Ask AI,问问AI
reader_full_text_search,Full Text Search,全文搜索
reader_kb_search,Knowledge Base Search,知识库搜索
reader_highlight_note,Highlight / Note,划重点
all_documents,All Documents,全部文档
today_reading,Todays Reading,今天阅读
total_reading,Total Reading,总阅读
min,min,分钟
